url,category,title,description,author,published_date,image_url,content_length,subjects
https://kids.nationalgeographic.com/history/article/history-of-the-national-parks,history,National Parks,,Andrea Silen,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2717,"History and Civilization, Hiking"
https://kids.nationalgeographic.com/history/article/remembering-september-11,history,Remembering September 11,Learn how this historic day in 2001 changed the lives of those living in the United States—and around the world.,Kay Boatner,,https://i.natgeofe.com/k/b9f43984-f979-4e8f-b057-bd1a7a65bb21/Memorial-Lights_911_KIDS_0821.jpg?w=374&h=248,10510,"Rescue Work, Modern History, Governments"
https://kids.nationalgeographic.com/history/article/heroes-of-911,history,Heroes of 9/11,,Kay Boatner,,https://i.natgeofe.com/k/2df30077-c028-455a-ac58-3055e1e696d0/Dog_Ground-Zero_911_KIDS_0821.jpg?w=374&h=221,6198,"Fire Fighting, Rescue Work, Modern History"
https://kids.nationalgeographic.com/history/article/womens-history-month,history,Women's History Month,"Every March, people in the United States celebrate the achievements and history of women as part of Women’s History Month.",Kay Boatner,,https://i.natgeofe.com/k/b2b910d1-df1d-454e-be80-37d9e3c3fc22/whm-1-votes.jpg?w=374&h=246,2736,"People and Culture, Activism, Protest, Discrimination, Human Rights, Gender, Women, Modern History"
https://kids.nationalgeographic.com/history/article/the-women-codebreakers-of-world-war-ii,history,The women codebreakers of World War II,"How more than 10,000 women worked with the U.S. military to help end the war",Maya Wei-Haas,,https://i.natgeofe.com/k/3cd6f16e-6d9a-4752-a73a-e65e91e342c3/OG_Cryptanalytic-Machine_Code-Breakers_KIDS_0322.jpg?w=374&h=243,7859,Women
https://kids.nationalgeographic.com/history/article/albert-einstein,history,Albert Einstein,This brilliant physicist worked to crack open the mysteries of the universe. Check out the time line below to learn about the life of this legend.,Andrea Silen,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1250,"Biography, Science and Technology, Physical Sciences, Physics"
https://kids.nationalgeographic.com/history/article/amelia-earhart-timeline,history,Amelia Earhart,"One of the world’s first female pilots, Amelia Earhart broke records before mysteriously disappearing. Check out the time line below to learn about the life of this legend.",Kay Boatner,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1462,"Biography, Travel and Adventure"
https://kids.nationalgeographic.com/history/article/king-tut,history,Mummy Mystery: King Tut,Find out how legendary leader King Tut might have died.,Unknown,,https://i.natgeofe.com/k/6efd69a0-7af0-42bf-84d0-25bd6b19faf6/king-tut-textimage_6.jpg?w=374&h=210,2948,"Ancient History, People and Culture, Archaeology, Artifacts, Mummies, Burial Grounds, Tombs, Historic Sites, Death, Mysteries, Science and Technology"
https://kids.nationalgeographic.com/history/article/leonardo-da-vinci,history,Leonardo da Vinci,"This painter, inventor, and all-around supergenius rocked Renaissance Italy. Check out the timeline below to learn about the life of this legend.",Andrea Silen,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1204,"Arts, Painting, Science and Technology, Innovation"
https://kids.nationalgeographic.com/history/article/wright-brothers,history,Taking Flight With the Wright Brothers,Find out how these inspiring aviators took to the skies.,Unknown,,https://i.natgeofe.com/k/599f79dd-823f-43fd-9170-4e7dd7e40017/wright-brothers-textimage_6.jpg?w=374&h=210,6383,"People and Culture, Historic Sites, Monuments, Exploration, Air Exploration, Science and Technology, Aeronautics, Aviation, Airplanes, Engineering, Technology, Travel and Adventure"
https://kids.nationalgeographic.com/history/article/alexander-hamilton,history,Alexander Hamilton,One of the Founding Fathers of the United States,Libby Romero,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",5971,
https://kids.nationalgeographic.com/history/article/inca-civilization,history,Inca civilization,​See how this powerful culture ruled from the Andes mountains of Peru 500 years ago.,Jessica van Dop DeJesus,,https://i.natgeofe.com/k/c69e6e4e-bd6b-4909-833d-55492fdb7c3e/Machu-Picchu_Inca_KIDS_0323.jpg?w=374&h=250,6821,"Historic Sites, Gold"
https://kids.nationalgeographic.com/history/article/aztec-civilization,history,Aztec civilization,See how this powerful group ruled central Mexico 500 years ago.,Jessica van Dop DeJesus,,https://i.natgeofe.com/k/afab5ef6-7421-41da-8531-8178cb966105/OG_Tenochtitlan_Aztec-Culture_KIDS_0223.jpg?w=374&h=300,6544,"Architecture, History and Civilization"
https://kids.nationalgeographic.com/history/article/ancient-egypt,history,Ancient Egypt,Uncover the secrets of one of the world’s oldest civilizations.,Jessica van Dop DeJesus,,https://i.natgeofe.com/k/109a4e08-5ebc-48a5-99ab-3fbfc1bbd611/Giza_Egypt_KIDS_0123.jpg?w=374&h=249,8093,"Mythology, Pyramids, Pharaohs"
https://kids.nationalgeographic.com/history/article/ancient-rome,history,Ancient Rome,"Find out why this ancient civilization is still important more than 2,000 years after its fall.",Allyson Shaw,,https://i.natgeofe.com/k/a6c9f195-de20-445d-9d36-745ef56042c5/OG_Colosseum_Ancient-Rome_KIDS_1122.jpg?w=374&h=255,8127,"Monuments, Governments, Arts"
https://kids.nationalgeographic.com/history/article/the-discovery-of-king-tuts-tomb,history,The discovery of King Tut’s tomb,Find out how explorers uncovered this ancient Egyptian resting place.,Allyson Shaw,,https://i.natgeofe.com/k/c5d3b14a-009d-4776-b3ad-1e96c7f52216/Mask_Tut_KIDS_0922-crop.jpg?w=374&h=412,7239,Mummies
https://kids.nationalgeographic.com/history/article/rediscovering-the-lost-endurance,history,"Rediscovering the lost ""Endurance""",How explorers found this missing ship 100 years after it sank,SIMON WORRALL,,https://i.natgeofe.com/k/0b83adbb-a9a5-4d51-9df3-e06a1b87a9e8/Ships-Wheel_Endurance_KIDS_1122.jpg?w=374&h=210,3919,"Exploration, Sailing, Polar Expeditions"
https://kids.nationalgeographic.com/books/article/try-this-ghost-glove,books,Make a ghost glove,Impress your friends with this cool science experiment.,MATTHEW RAKOLA,,https://i.natgeofe.com/k/d500e556-2608-4d9d-8f8b-af5fb09b5091/ghost-glove-no-logo.gif?w=374&h=324,1283,Books
https://kids.nationalgeographic.com/books/article/elephant-toothpaste,books,Elephant toothpaste,,MATTHEW RAKOLA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2008,
https://kids.nationalgeographic.com/books/article/color-explosion,books,Color explosion,Chemistry doesn't have to be boring—especially when you can get a cool art project out of it.,MATTHEW RAKOLA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1865,
https://kids.nationalgeographic.com/books/article/marshmallow-madness,books,Marshmallow madness,"With help from a marshmallow and syringe (without the needle!), you can create pressure that's stronger than the atmosphere, right in the palm of your hand.",Lori Epstein,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1100,
https://kids.nationalgeographic.com/science/article/all-charged-up-wiggly-water,science,All Charged Up: Wiggly Water,A simple experiment to see electricity in action,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",606,
https://kids.nationalgeographic.com/books/article/try-this-hula-hoop,books,Hula-Hoop Observation,"Be backyard scientist. Use a Hula-Hoop to isolate an area to observe. And if you don't have a hoop, make one with instructions from the Nat Geo Kids book Try This!.",MATTHEW RAKOLA,,https://i.natgeofe.com/k/50d828e0-476e-4be0-ba0c-66230285496e/try-this-observation.jpg?w=374&h=249,3041,Books
https://kids.nationalgeographic.com/books/article/try-this-candy-coating,books,未找到标题,Try this sweet science experiment from the Nat Geo Kids book Try This!: 50 Fun Experiments for the Mad Scientist in You.,MATTHEW RAKOLA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1344,Books
https://kids.nationalgeographic.com/science/article/make-a-weather-station,science,Make a Weather Station,The instruments you'll need to build your own weather station,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1319,
https://kids.nationalgeographic.com/science/article/make-a-groovy-lava-lamp,science,Make a Groovy Lava Lamp,,Hilary Andrews,,https://i.natgeofe.com/k/5570f333-c0fe-431e-bb57-9142c4a384b3/food-coloring-medium-2.gif?w=374&h=281,1223,
https://kids.nationalgeographic.com/books/article/super-ball,books,Make a super ball!,What makes something bounce? Here’s an experiment for finding the bounce in a combination of ingredients.,MATTHEW RAKOLA,,https://i.natgeofe.com/k/88089bd1-4e63-45df-a398-5d0380c4008a/try-this-super-ball-og.jpg?w=374&h=228,1431,
https://kids.nationalgeographic.com/science/article/rock-on,science,Rock On,Try this experiment to find out the differences in the composition of rocks.,David George Gordon,,https://i.natgeofe.com/k/b5af7489-72ef-4d35-be08-4ae619a90d06/rock-on.jpg?w=374&h=210,670,
https://kids.nationalgeographic.com/science/article/eggs-periments-bottled-egg,science,Bottled Egg Trick,,Unknown,,https://i.natgeofe.com/k/e8186131-18cb-45c8-aad7-eb24e640642e/eggs-wire-basket.jpg?w=374&h=210,1137,
https://kids.nationalgeographic.com/science/article/make-clouds-in-a-bottle,science,未找到标题,Follow these steps to make rain clouds in a bottle!,MATTHEW RAKOLA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2488,
https://kids.nationalgeographic.com/science/article/sounds-great--bottled-music,science,Bottled Music,Learn how to make a musical instrument using glass bottles filled with water.,Unknown,,https://i.natgeofe.com/k/d3a5b383-0ee4-41d7-a531-6589a46d499b/bottled-music.jpg?w=374&h=210,560,Music
https://kids.nationalgeographic.com/books/article/underwater-scope,books,Make an underwater scope,,Lori Epstein,,https://i.natgeofe.com/k/a622a3fd-714e-4235-bc18-a9ef799276bc/underwater-scope.jpg?w=374&h=512,916,
https://kids.nationalgeographic.com/science/article/eggs-periments-balancing-egg,science,Balancing Egg Science Experiment,Try this simple eggs-periment (see what we did there?) to learn about salt crystals.,Unknown,,https://i.natgeofe.com/k/dbde9ae4-320c-45ec-ba1c-1fad44278578/eggs-bowl.jpg?w=374&h=210,955,
https://kids.nationalgeographic.com/books/article/ice-cream,books,Make Ice Cream,Chill out with this easy recipe for a DIY treat.,Emma Wood,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2096,Cooking
https://kids.nationalgeographic.com/science/article/facts-about-coronavirus,science,Facts about coronavirus,What kids need to know,C.M. Tomlin,"July 21, 2021",https://i.natgeofe.com/k/815a5b2c-cab4-4fa5-99eb-32d5d058f291/kid-washing-hands.jpg?w=374&h=249,5389,"Vaccination, Bacteria, Immune System, Schools"
https://kids.nationalgeographic.com/science/article/coronavirus-glossary,science,Coronavirus glossary,Get definitions of unfamiliar words you may be hearing during the coronavirus pandemic.,Laura Goertzel,"July 21, 2021","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",5155,"Bacteria, Immune System, Vaccination, DNA"
https://kids.nationalgeographic.com/science/article/daylight-saving-time,science,Daylight saving time,"Why do we ""fall back?""",Sara Zeglin,,https://i.natgeofe.com/n/da767ca9-5cce-4446-98b1-6b7935c9add0/dst5.gif?w=374&h=249,1291,
https://kids.nationalgeographic.com/science/article/climate-change,science,Climate change,What is climate change? What could happen? Get all the facts you need to know.,Allyson Shaw,,https://i.natgeofe.com/k/6d6ee5ff-e749-47dd-80c2-ed1158aa259c/climatechange-polarbear.jpg?w=374&h=249,5833,
https://kids.nationalgeographic.com/science/article/declincing-biodiversity,science,Declining biodiversity,Plants and animals depend on each other for survival. Find out why this biodiversity is so important—and why it's in trouble.,Allyson Shaw,,https://i.natgeofe.com/k/7bbb8a81-1732-4746-8aaa-15bf3a379b58/green-sea-turtle-closeup-underwater.jpg?w=374&h=210,2310,
