Article_Index,SARI_Score,NatGeo_to_Wikipedia_SARI,Wikipedia_to_NatGeo_SARI
186,0.0000,0.0000,0.0000
187,0.0276,0.0513,0.0040
188,0.0285,0.0364,0.0206
189,0.0884,0.1200,0.0569
190,0.0648,0.0981,0.0314
191,0.0345,0.0547,0.0143
192,0.0195,0.0241,0.0149
193,0.0506,0.0762,0.0249
194,0.0407,0.0650,0.0163
195,0.0675,0.1165,0.0184
196,0.0413,0.0612,0.0214
197,0.0593,0.1079,0.0107
198,0.0308,0.0537,0.0080
199,0.0397,0.0612,0.0182
200,0.0514,0.0773,0.0256
201,0.0322,0.0263,0.0381
202,0.1235,0.1994,0.0477
203,0.0352,0.0338,0.0365
204,0.0386,0.0612,0.0160
205,0.0316,0.0440,0.0192
206,0.0530,0.0698,0.0363
207,0.0850,0.1345,0.0356
208,0.0803,0.1018,0.0588
209,0.0445,0.0693,0.0197
210,0.0592,0.0963,0.0220
211,0.0188,0.0260,0.0117
212,0.0264,0.0380,0.0149
213,0.0151,0.0194,0.0109
214,0.0483,0.0763,0.0203
215,0.0000,0.0000,0.0000
216,0.1943,0.3237,0.0648
217,0.1059,0.1619,0.0498
218,0.1042,0.1691,0.0392
219,0.0415,0.0449,0.0380
220,0.1789,0.3035,0.0542
221,0.0577,0.0886,0.0267
222,0.1920,0.3157,0.0684
223,0.0660,0.0991,0.0329
224,0.2018,0.3469,0.0568
225,0.1179,0.1654,0.0704
226,0.1717,0.2857,0.0577
227,0.1559,0.2574,0.0545
228,0.1411,0.0910,0.1911
229,0.1838,0.2891,0.0784
230,0.0403,0.0769,0.0036
231,0.0722,0.0756,0.0688
232,0.0724,0.1385,0.0064
233,0.0633,0.0903,0.0363
234,0.1275,0.2205,0.0344
235,0.1004,0.1864,0.0143
236,0.0404,0.0321,0.0488
237,0.0551,0.0824,0.0279
238,0.0698,0.1066,0.0330
239,0.0929,0.1584,0.0274
240,0.0384,0.0479,0.0290
241,0.0453,0.0678,0.0228
242,0.0703,0.0708,0.0697
243,0.0397,0.0433,0.0361
244,0.0300,0.0341,0.0260
245,0.0799,0.1220,0.0378
246,0.0626,0.0922,0.0330
247,0.0892,0.1528,0.0256
248,0.0895,0.1319,0.0470
249,0.1053,0.1510,0.0596
250,0.0293,0.0299,0.0287
251,0.0761,0.1182,0.0340
252,0.0656,0.0959,0.0354
253,0.1471,0.2687,0.0254
254,0.0630,0.1128,0.0133
255,0.0568,0.0750,0.0385
256,0.0796,0.1204,0.0389
257,0.0867,0.1542,0.0193
258,0.1042,0.1725,0.0359
259,0.0858,0.1496,0.0220
260,0.2236,0.3395,0.1077
261,0.1978,0.3135,0.0820
262,0.1663,0.2431,0.0896
263,0.1295,0.1958,0.0631
264,0.1345,0.2029,0.0660
265,0.1781,0.2817,0.0745
266,0.1457,0.2400,0.0513
267,0.2224,0.3384,0.1064
268,0.1813,0.2718,0.0908
269,0.1827,0.2744,0.0911
270,0.1508,0.2243,0.0774
271,0.1484,0.2163,0.0804
272,0.1864,0.3009,0.0718
273,0.1607,0.2387,0.0828
274,0.1819,0.2687,0.0951
275,0.1621,0.2504,0.0738
276,0.1800,0.2820,0.0781
277,0.1945,0.3150,0.0740
278,0.2042,0.3487,0.0596
279,0.1974,0.3060,0.0887
280,0.1247,0.1597,0.0897
281,0.2034,0.3218,0.0849
282,0.1051,0.1405,0.0696
283,0.1670,0.2537,0.0804
284,0.1884,0.2891,0.0876
285,0.1570,0.2428,0.0713
286,0.1499,0.2332,0.0665
287,0.1784,0.2160,0.1408
288,0.1622,0.2539,0.0705
289,0.1884,0.2831,0.0937
290,0.1564,0.2433,0.0696
291,0.1226,0.1735,0.0717
292,0.1853,0.2850,0.0857
293,0.1167,0.1379,0.0956
294,0.1503,0.2222,0.0785
295,0.1725,0.2652,0.0798
296,0.1555,0.2322,0.0787
297,0.1608,0.2482,0.0735
298,0.1374,0.2003,0.0746
299,0.1385,0.2182,0.0589
300,0.1616,0.2203,0.1029
301,0.1340,0.1876,0.0804
302,0.1925,0.2989,0.0862
303,0.1375,0.2036,0.0713
304,0.1487,0.2308,0.0667
305,0.1391,0.2080,0.0703
306,0.0538,0.0917,0.0158
307,0.0274,0.0444,0.0103
308,0.3361,0.6667,0.0056
309,0.3344,0.6667,0.0021
310,0.0000,0.0000,0.0000
311,0.0213,0.0294,0.0132
312,0.0225,0.0435,0.0016
313,0.0828,0.1579,0.0076
314,0.0800,0.1549,0.0051
315,0.1063,0.1417,0.0710
316,0.0839,0.1667,0.0011
317,0.0000,0.0000,0.0000
318,0.0000,0.0000,0.0000
319,0.0000,0.0000,0.0000
320,0.0000,0.0000,0.0000
321,0.0000,0.0000,0.0000
322,0.0000,0.0000,0.0000
323,0.0000,0.0000,0.0000
324,0.0000,0.0000,0.0000
325,0.0000,0.0000,0.0000
326,0.0000,0.0000,0.0000
327,0.0000,0.0000,0.0000
328,0.0000,0.0000,0.0000
329,0.0000,0.0000,0.0000
330,0.0000,0.0000,0.0000
331,0.0659,0.1250,0.0069
332,0.0000,0.0000,0.0000
333,0.0000,0.0000,0.0000
334,0.0000,0.0000,0.0000
335,0.0000,0.0000,0.0000
336,0.0000,0.0000,0.0000
337,0.0000,0.0000,0.0000
338,0.0000,0.0000,0.0000
339,0.0000,0.0000,0.0000
340,0.0000,0.0000,0.0000
341,0.0000,0.0000,0.0000
342,0.0000,0.0000,0.0000
343,0.0000,0.0000,0.0000
344,0.0000,0.0000,0.0000
345,0.0000,0.0000,0.0000
346,0.0000,0.0000,0.0000
347,0.0000,0.0000,0.0000
348,0.0000,0.0000,0.0000
349,0.1010,0.2000,0.0021
350,0.0000,0.0000,0.0000
351,0.0000,0.0000,0.0000
352,0.0000,0.0000,0.0000
353,0.1297,0.2500,0.0093
354,0.0000,0.0000,0.0000
355,0.0000,0.0000,0.0000
356,0.0000,0.0000,0.0000
357,0.0000,0.0000,0.0000
358,0.0000,0.0000,0.0000
359,0.0000,0.0000,0.0000
360,0.0000,0.0000,0.0000
361,0.0000,0.0000,0.0000
362,0.0369,0.0667,0.0072
