url,title,description,author,published_date,image_url,content_length,subjects
https://kids.nationalgeographic.com/science/article/blizzards,Blizzards,Learn how these winter snowstorms form—and how you can stay safe if one blows your way.,Sylvia Mphofe,,https://i.natgeofe.com/k/ff56315f-1b5c-44ba-a85b-1f29c8ee403b/Tree_Blizzard_KIDS_0123.jpg?w=374&h=249,5769,"Safety, Meteorology"
https://kids.nationalgeographic.com/science/article/tour-a-recycling-center,Tour a Recycling Center,Check out what happens to your recyclables after they leave your house.,Allyson Shaw,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",420,"Compost, Green Living"
https://kids.nationalgeographic.com/science/article/coronavirus-glossary,Coronavirus glossary,Get definitions of unfamiliar words you may be hearing during the coronavirus pandemic.,Laura Goertzel,"July 21, 2021","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",5047,"Bacteria, Immune System, Vaccination, DNA"
https://kids.nationalgeographic.com/science/article/facts-about-coronavirus,Facts about coronavirus,What kids need to know,C.M. Tomlin,"July 21, 2021",https://i.natgeofe.com/k/815a5b2c-cab4-4fa5-99eb-32d5d058f291/kid-washing-hands.jpg?w=374&h=249,5389,"Vaccination, Bacteria, Immune System, Schools"
https://kids.nationalgeographic.com/science/article/seed-bombs-and-slingshots,Seed bombs and slingshots,,Unknown,,https://i.natgeofe.com/k/74d92bad-a10f-478e-894f-dad8817a33da/seedbombs5.jpg?w=374&h=249,2871,
